"COUNTRY","iso_a3","continent","subregion"
"Canada","CAN","North America","Northern America"
"Russia",NA,NA,NA
"United States","USA","North America","Northern America"
"Finland","FIN","Europe","Northern Europe"
"Iceland","ISL","Europe","Northern Europe"
"Sweden","SWE","Europe","Northern Europe"
"United Kingdom","GBR","Europe","Northern Europe"
"Estonia","EST","Europe","Northern Europe"
"Latvia","LVA","Europe","Northern Europe"
"Denmark","DNK","Europe","Northern Europe"
"Lithuania","LTU","Europe","Northern Europe"
"Ireland","IRL","Europe","Northern Europe"
"Germany","DEU","Europe","Western Europe"
"Poland","POL","Europe","Eastern Europe"
"Netherlands","NLD","Europe","Western Europe"
"Belgium","BEL","Europe","Western Europe"
"Ukraine","UKR","Europe","Eastern Europe"
"Italy","ITA","Europe","Southern Europe"
"Slovenia","SVN","Europe","Southern Europe"
"Croatia","HRV","Europe","Southern Europe"
"Japan","JPN","Asia","Eastern Asia"
"Romania","ROU","Europe","Eastern Europe"
"Bosnia and Herzegovina","BIH","Europe","Southern Europe"
"Spain","ESP","Europe","Southern Europe"
"Bulgaria","BGR","Europe","Eastern Europe"
"Georgia","GEO","Asia","Western Asia"
"North Korea","PRK","Asia","Eastern Asia"
"Albania","ALB","Europe","Southern Europe"
"Turkey","TUR","Asia","Western Asia"
"Portugal","PRT","Europe","Southern Europe"
"China","CHN","Asia","Eastern Asia"
"Greece","GRC","Europe","Southern Europe"
"South Korea","KOR","Asia","Eastern Asia"
"Tunisia","TUN","Africa","Northern Africa"
"Algeria","DZA","Africa","Northern Africa"
"Morocco","MAR","Africa","Northern Africa"
"Syria","SYR","Asia","Western Asia"
"Lebanon","LBN","Asia","Western Asia"
"México","MEX","North America","Central America"
"Egypt","EGY","Africa","Northern Africa"
"Palestine","PSE","Asia","Western Asia"
"Iran","IRN","Asia","Southern Asia"
"Iraq","IRQ","Asia","Western Asia"
"Jordan","JOR","Asia","Western Asia"
"Saudi Arabia","SAU","Asia","Western Asia"
"Pakistan","PAK","Asia","Southern Asia"
"Oman","OMN","Asia","Western Asia"
"United Arab Emirates","ARE","Asia","Western Asia"
"India","IND","Asia","Southern Asia"
"Bangladesh","BGD","Asia","Southern Asia"
"Cuba","CUB","North America","Caribbean"
"Sudan","SDN","Africa","Northern Africa"
"Vietnam","VNM","Asia","South-Eastern Asia"
"Myanmar","MMR","Asia","South-Eastern Asia"
"Mauritania","MRT","Africa","Western Africa"
"Philippines","PHL","Asia","South-Eastern Asia"
"Haiti","HTI","North America","Caribbean"
"Dominican Republic","DOM","North America","Caribbean"
"Eritrea","ERI","Africa","Eastern Africa"
"Yemen","YEM","Asia","Western Asia"
"Honduras","HND","North America","Central America"
"Senegal","SEN","Africa","Western Africa"
"Guatemala","GTM","North America","Central America"
"Nicaragua","NIC","North America","Central America"
"El Salvador","SLV","North America","Central America"
"Thailand","THA","Asia","South-Eastern Asia"
"Gambia","GMB","Africa","Western Africa"
"Djibouti","DJI","Africa","Eastern Africa"
"Cambodia","KHM","Asia","South-Eastern Asia"
"Guinea-Bissau","GNB","Africa","Western Africa"
"Colombia","COL","South America","South America"
"Venezuela","VEN","South America","South America"
"Somalia","SOM","Africa","Eastern Africa"
"Guinea","GIN","Africa","Western Africa"
"Costa Rica","CRI","North America","Central America"
"Sri Lanka","LKA","Asia","Southern Asia"
"Panama","PAN","North America","Central America"
"Sierra Leone","SLE","Africa","Western Africa"
"Guyana","GUY","South America","South America"
"Malaysia","MYS","Asia","South-Eastern Asia"
"Liberia","LBR","Africa","Western Africa"
"Benin","BEN","Africa","Western Africa"
"Nigeria","NGA","Africa","Western Africa"
"Togo","TGO","Africa","Western Africa"
"Côte d'Ivoire","CIV","Africa","Western Africa"
"Ghana","GHA","Africa","Western Africa"
"Suriname","SUR","South America","South America"
"Indonesia","IDN","Asia","South-Eastern Asia"
"Cameroon","CMR","Africa","Middle Africa"
"Brunei","BRN","Asia","South-Eastern Asia"
"Brazil","BRA","South America","South America"
"Equatorial Guinea","GNQ","Africa","Middle Africa"
"Ecuador","ECU","South America","South America"
"Gabon","GAB","Africa","Middle Africa"
"Kenya","KEN","Africa","Eastern Africa"
"Papua New Guinea","PNG","Oceania","Melanesia"
"Peru","PER","South America","South America"
"Republic of the Congo","COG","Africa","Middle Africa"
"Tanzania","TZA","Africa","Eastern Africa"
"Angola","AGO","Africa","Middle Africa"
"Democratic Republic of the Congo","COD","Africa","Middle Africa"
"Solomon Islands","SLB","Oceania","Melanesia"
"Timor-Leste","TLS","Asia","South-Eastern Asia"
"Australia","AUS","Oceania","Australia and New Zealand"
"Mozambique","MOZ","Africa","Eastern Africa"
"Madagascar","MDG","Africa","Eastern Africa"
"Fiji","FJI","Oceania","Melanesia"
"Vanuatu","VUT","Oceania","Melanesia"
"Namibia","NAM","Africa","Southern Africa"
"Chile","CHL","South America","South America"
"South Africa","ZAF","Africa","Southern Africa"
"Uruguay","URY","South America","South America"
"Argentina","ARG","South America","South America"
"New Zealand","NZL","Oceania","Australia and New Zealand"
