id,category,indicator,description,variable_name
ID_ECOS_01,ND Gain,Projected Change of Biome Distribution,"An indication of how climate change will impact the change of terrestrial biome biodiversity within a country by the end of the century. Data were taken from the global version of a dynamic vegetation model (MC1) (Gonzalez et al., 2010).",Value..ecos_01_score
ID_ECOS_02,ND Gain,Projected Change of Marine Biodiversity,"An indication of how climate change will impact the change of marine biodiversity in a country’s exclusive economic zones by mid-century. It is a measure based on projected changes in the distribution of 1066 exploited species of marine fish and invertebrates under climate envelope scenarios based on A1B scenarios (Cheung et al., 2009).",Value..ecos_02_score
ID_HABI_01,ND Gain,Projected Change of Warm Periods,"An indication of the probability of extreme heat under climate change by mid-century. This indicator uses the Warm Spell Duration Index (WSDI), which defines periods of excessive warmth using a percentile-based threshold calculated for a calendar 5-day window in the base period 1961-1990. WSDI counts the number of days in a year when daily maximum of near surface temperature exceeds the 90th percentile threshold for 6 consecutive days or longer (Alexander, et al., 2006; Sillmann, et al., 2013b).",Value..habi_01_score
ID_HEAL_01,ND Gain,Projected Change of Deaths from Climate Change Induced Diseases,"An indication of the climate change impacts on several types of diseases. The indicator is a model-based estimate of the quality-adjusted loss of life years under several different climate scenarios. Disability adjusted life year (DALY) due to malaria, an indication of the climate change impacts on vector borne diseases, is excluded because more specific models have been used to project such impacts and it is assessed by another ND-GAIN indicator, the projected change of length of transmission season of vector-borne diseases",Value..heal_01_score
ID_HEAL_02,ND Gain,Projected Change in Vector-Borne Diseases,"This indicator takes the projection of malaria LTS as an indication of the climate change impacts on vector-borne diseases. LTS data were taken from projections (Caminade, et al., 2014) that took the ensemble mean of malaria LTS over four malaria models and five GCMs. However, the incidence of vector-borne diseases is also strongly dependent on the quality of public health systems. In this indicator the WHO estimated number of malarial cases per 1000 population per month of current LTS is used as a measure of these services.",Value..heal_02_score
ID_HEAL_03,ND Gain,Dependency on External Resources for Health Services,Share of current health expenditures funded from external sources. External sources compose of direct foreign transfers and foreign transfers distributed by government encompassing all financial inflows into the national health system from outside the country.,Value..heal_03_score
ID_HEAL_05,ND Gain,Medical Staff,"Sum of the number of physicians, nurses and midwives per 1000 population in the country. Increases in physicians, nurses, or midwives will have the same effect on the indicator.",Value..heal_05_score
ID_INFR_02,ND Gain,Projected Change of Sea Level Rise Impacts,"An indication of how coastal infrastructure will be impacted by the combined effect of sea level rise and potential storm surge by the end of the century. The indicator considers the proportion of land areas, adjacent to the ocean, that are lower than the projected sea level rise and the average height of storm surge.",Value..infr_02_score
ID_INFR_04,ND Gain,Population Living Under 5m Above Sea Level,The proportion of the population living in the area where elevation is 5 m or less. It is a simple measure of the population sensitive to coastal risks.,Value..infr_04_score
economic,ND Gain,Economic Readiness,The investment climate that facilitates mobilizing capitals from private sector.,Value..economic
ecosystems,ND Gain,Ecosystem Vulnerability,"Measures a country's exposure, sensitivity and capacity to adapt to the negative effects of climate change. ND-GAIN measures overall vulnerability by considering six life-supporting sectors – food, water, health, ecosystem service, human habitat, and infrastructure.",Value..ecosystems
food,ND Gain,Food Vulnerability,"Measures a country's exposure, sensitivity and capacity to adapt to the negative effects of climate change. ND-GAIN measures overall vulnerability by considering six life-supporting sectors – food, water, health, ecosystem service, human habitat, and infrastructure.",Value..food
governance,ND Gain,Governance Readiness,The stability of the society and institutional arrangements that contribute to the investment risks. A stable country with high governance capacity reassures investors that the invested capitals could grow under the help of responsive public services and without s,Value..governance
gain,ND Gain,GAIN Score,"ND-GAIN assesses the vulnerability of a country by considering six life-supporting sectors: food, water, health, ecosystem services, human habitat and infrastructure. Each sector is in turn represented by six indicators that represent three cross-cutting components: the exposure of the sector to climate-related or climate-exacerbated hazards; the sensitivity of that sector to the impacts of the hazard and the adaptive capacity of the sector to cope or adapt to these impacts.",Value..gain
health,ND Gain,Health Vulnerability,"Measures a country's exposure, sensitivity and capacity to adapt to the negative effects of climate change. ND-GAIN measures overall vulnerability by considering six life-supporting sectors – food, water, health, ecosystem service, human habitat, and infrastructure.",Value..health
infrastructure,ND Gain,Infrastructure Vulnerability,"Measures a country's exposure, sensitivity and capacity to adapt to the negative effects of climate change. ND-GAIN measures overall vulnerability by considering six life-supporting sectors – food, water, health, ecosystem service, human habitat, and infrastructure.",Value..infrastructure
